=== start a 12:04 ===
    K      N     M   wMiB   w/L2  A MiB |  sw1 TF  sw8 TF |   gain8% | ident
 4096  10240  6144   40.0  1.667   24.0 |    62.1   161.2 |   +159.4 | True
 4096  10240  8192   40.0  1.667   32.0 |    53.3   165.5 |   +210.4 | True
 4096  14336  2048   56.0  2.333    8.0 |   168.2   160.6 |     -4.5 | True
 4096  14336  3072   56.0  2.333   12.0 |   168.7   162.4 |     -3.7 | True
 4096  14336  4096   56.0  2.333   16.0 |   152.9   161.5 |     +5.6 | True
 4096  14336  6144   56.0  2.333   24.0 |    63.9   164.5 |   +157.4 | True
 4096  14336  8192   56.0  2.333   32.0 |    52.6   165.9 |   +215.3 | True
 4096  20480  2048   80.0  3.333    8.0 |   165.8   166.7 |     +0.6 | True
 4096  20480  3072   80.0  3.333   12.0 |   167.2   163.9 |     -2.0 | True
 4096  20480  4096   80.0  3.333   16.0 |   158.5   164.1 |     +3.5 | True
 4096  20480  6144   80.0  3.333   24.0 |    61.4   164.3 |   +167.4 | True
 4096  20480  8192   80.0  3.333   32.0 |    52.5   166.2 |   +216.9 | True
 5120   1280  2048    6.2  0.260   10.0 |   159.3   159.5 |     +0.1 | True
 5120   1280  3072    6.2  0.260   15.0 |   187.2   176.1 |     -5.9 | True
 5120   1280  4096    6.2  0.260   20.0 |   180.1   176.6 |     -2.0 | True
 5120   1280  6144    6.2  0.260   30.0 |   186.4   182.2 |     -2.2 | True
 5120   1280  8192    6.2  0.260   40.0 |   179.1   172.9 |     -3.4 | True
 5120   2560  2048   12.5  0.521   10.0 |   177.8   175.4 |     -1.3 | True
 5120   2560  3072   12.5  0.521   15.0 |   183.0   163.1 |    -10.9 | True
 5120   2560  4096   12.5  0.521   20.0 |   168.2   157.2 |     -6.5 | True
 5120   2560  6144   12.5  0.521   30.0 |   173.2   163.0 |     -5.9 | True
 5120   2560  8192   12.5  0.521   40.0 |   170.9   167.9 |     -1.7 | True
 5120   3840  2048   18.8  0.781   10.0 |   184.6   169.6 |     -8.2 | True
 5120   3840  3072   18.8  0.781   15.0 |   162.9   163.0 |     +0.0 | True
 5120   3840  4096   18.8  0.781   20.0 |   151.0   168.2 |    +11.4 | True
 5120   3840  6144   18.8  0.781   30.0 |   136.1   168.2 |    +23.6 | True
 5120   3840  8192   18.8  0.781   40.0 |   148.2   169.4 |    +14.3 | True
 5120   5120  2048   25.0  1.042   10.0 |   166.3   159.4 |     -4.2 | True
 5120   5120  3072   25.0  1.042   15.0 |   156.5   164.0 |     +4.8 | True
 5120   5120  4096   25.0  1.042   20.0 |   118.7   156.2 |    +31.5 | True
 5120   5120  6144   25.0  1.042   30.0 |   107.6   169.9 |    +58.0 | True
 5120   5120  8192   25.0  1.042   40.0 |    78.5   165.3 |   +110.6 | True
 5120   7168  2048   35.0  1.458   10.0 |   179.8   164.2 |     -8.7 | True
 5120   7168  3072   35.0  1.458   15.0 |   164.0   163.4 |     -0.4 | True
 5120   7168  4096   35.0  1.458   20.0 |   114.4   163.1 |    +42.6 | True
 5120   7168  6144   35.0  1.458   30.0 |    52.5   172.0 |   +227.8 | True
 5120   7168  8192   35.0  1.458   40.0 |    53.8   166.0 |   +208.6 | True
 5120  10240  2048   50.0  2.083   10.0 |   172.6   167.6 |     -2.9 | True
 5120  10240  3072   50.0  2.083   15.0 |   165.3   162.9 |     -1.4 | True
 5120  10240  4096   50.0  2.083   20.0 |   118.2   163.3 |    +38.2 | True
 5120  10240  6144   50.0  2.083   30.0 |    54.5   168.4 |   +209.1 | True
 5120  10240  8192   50.0  2.083   40.0 |    51.8   169.2 |   +226.3 | True
 5120  14336  2048   70.0  2.917   10.0 |   174.3   165.4 |     -5.1 | True
 5120  14336  3072   70.0  2.917   15.0 |   164.1   165.9 |     +1.1 | True
 5120  14336  4096   70.0  2.917   20.0 |   122.1   164.9 |    +35.1 | True
 5120  14336  6144   70.0  2.917   30.0 |    51.4   168.0 |   +227.0 | True
 5120  14336  8192   70.0  2.917   40.0 |    51.5   169.3 |   +228.6 | True
 5120  20480  2048  100.0  4.167   10.0 |   177.8   167.3 |     -6.0 | True
 5120  20480  3072  100.0  4.167   15.0 |   165.8   165.8 |     +0.1 | True
 5120  20480  4096  100.0  4.167   20.0 |   115.4   166.0 |    +43.9 | True
 5120  20480  6144  100.0  4.167   30.0 |    52.0   168.2 |   +223.7 | True
 5120  20480  8192  100.0  4.167   40.0 |    52.0   169.7 |   +226.3 | True
 6144   1280  2048    7.5  0.312   12.0 |   161.4   160.0 |     -0.9 | True
 6144   1280  3072    7.5  0.312   18.0 |   187.8   174.4 |     -7.1 | True
 6144   1280  4096    7.5  0.312   24.0 |   180.7   174.9 |     -3.2 | True
 6144   1280  6144    7.5  0.312   36.0 |   190.1   172.2 |     -9.4 | True
 6144   1280  8192    7.5  0.312   48.0 |   176.8   167.1 |     -5.5 | True
 6144   2560  2048   15.0  0.625   12.0 |   178.4   167.1 |     -6.3 | True
 6144   2560  3072   15.0  0.625   18.0 |   183.0   162.4 |    -11.3 | True
 6144   2560  4096   15.0  0.625   24.0 |   170.2   157.6 |     -7.4 | True
 6144   2560  6144   15.0  0.625   36.0 |   172.4   166.4 |     -3.5 | True
 6144   2560  8192   15.0  0.625   48.0 |   175.2   159.6 |     -8.9 | True
 6144   3840  2048   22.5  0.938   12.0 |   187.2   166.0 |    -11.3 | True
 6144   3840  3072   22.5  0.938   18.0 |   130.6   155.0 |    +18.7 | True
 6144   3840  4096   22.5  0.938   24.0 |   131.8   170.5 |    +29.4 | True
 6144   3840  6144   22.5  0.938   36.0 |   118.0   163.9 |    +38.9 | True
 6144   3840  8192   22.5  0.938   48.0 |   113.6   169.3 |    +49.1 | True
 6144   5120  2048   30.0  1.250   12.0 |   170.5   157.4 |     -7.7 | True
 6144   5120  3072   30.0  1.250   18.0 |   140.5   165.0 |    +17.4 | True
 6144   5120  4096   30.0  1.250   24.0 |    84.5   159.1 |    +88.3 | True
 6144   5120  6144   30.0  1.250   36.0 |    90.2   171.2 |    +89.8 | True
 6144   5120  8192   30.0  1.250   48.0 |    66.0   168.8 |   +155.7 | True
 6144   7168  2048   42.0  1.750   12.0 |   178.1   152.5 |    -14.4 | True
 6144   7168  3072   42.0  1.750   18.0 |   149.2   164.8 |    +10.4 | True
 6144   7168  4096   42.0  1.750   24.0 |    83.4   160.2 |    +92.1 | True
 6144   7168  6144   42.0  1.750   36.0 |    51.1   170.9 |   +234.6 | True
 6144   7168  8192   42.0  1.750   48.0 |    73.2   171.3 |   +134.1 | True
 6144  10240  2048   60.0  2.500   12.0 |   172.9   157.5 |     -8.9 | True
 6144  10240  3072   60.0  2.500   18.0 |   140.1   165.7 |    +18.2 | True
 6144  10240  4096   60.0  2.500   24.0 |    90.8   164.9 |    +81.6 | True
 6144  10240  6144   60.0  2.500   36.0 |    51.6   169.2 |   +227.7 | True
 6144  10240  8192   60.0  2.500   48.0 |    51.0   169.2 |   +231.5 | True
 6144  14336  2048   84.0  3.500   12.0 |   175.3   163.1 |     -6.9 | True
 6144  14336  3072   84.0  3.500   18.0 |   149.1   167.0 |    +12.0 | True
 6144  14336  4096   84.0  3.500   24.0 |    89.1   166.8 |    +87.2 | True
 6144  14336  6144   84.0  3.500   36.0 |    51.8   170.3 |   +228.8 | True
 6144  14336  8192   84.0  3.500   48.0 |    50.8   170.6 |   +235.7 | True
 6144  20480  2048  120.0  5.000   12.0 |   176.7   165.2 |     -6.5 | True
 6144  20480  3072  120.0  5.000   18.0 |   139.3   166.6 |    +19.6 | True
 6144  20480  4096  120.0  5.000   24.0 |    84.5   166.7 |    +97.3 | True
 6144  20480  6144  120.0  5.000   36.0 |    51.0   169.1 |   +231.8 | True
 6144  20480  8192  120.0  5.000   48.0 |    51.3   170.8 |   +233.1 | True
== ALL DONE ==
=== start c 12:06 ===
    K      N     M   wMiB   w/L2  A MiB |  sw1 TF  sw8 TF |   gain8% | ident
 2560   1280  2048    3.1  0.130    5.0 |   150.9   151.0 |     +0.0 | True
